_mb_row_id,Municipio,Categoria,Nome,Endereco,Latitude,Longitude
1,João Pessoa,Educação,ECI Liceu Paraibano,"Av. Pres. Getúlio Vargas, S/N - Centro, João Pessoa - PB, 58013-240",-7.12085183,-34.87604226
2,João Pessoa,Educação,ECIT PROFESSOR OLÍVIO PINTO,"R. Ulisses Alves Pequeno, S/N - Valentina de Figueiredo, João Pessoa - PB, 58064-580",-7.20704425,-34.84347536
3,João Pessoa,Educação,Escola Estadual Prof. Adélia de França,"R. João Raimundo de Lucena, S/N - Valentina de Figueiredo, João Pessoa - PB, 58063-620",-7.20514837,-34.84846890
4,João Pessoa,Educação,EEEFM Dr. João Navarro Filho,"RUA PROFESSORA MARIA ALEXANDRINA, R. Egídio de Oliveira Lima, 051 - Valentina de Figueiredo, PB, 58064-375",-7.20213246,-34.85228239
5,João Pessoa,Educação,EEEF PROF TERCIA BONAVIDES LINS,"RUA VEREADOR FRANCISCO L. CAVALCANTI, 315 - Valentina de Figueiredo, João Pessoa - PB, 58064-280",-7.19940142,-34.83917873
6,João Pessoa,Educação,EEEFM PROF CELESTIN MALZAC,"R. Profa. Maria Zenaide Brasilino - Conj. Valentina Figueredo I, João Pessoa - PB, 58063-300",-7.19955472,-34.85188803
7,João Pessoa,Educação,EEEF PROFª RITA DE MIRANDA HENRIQUES,"R. Francisco Porfírio Ribeiro, S/N - Mangabeira IV, João Pessoa - PB, 58057-100",-7.18837606,-34.83942168
8,João Pessoa,Educação,EEEF Borges da Fonseca,"Av. Cel. Calixto, 58033-455 - Cidade Verde, João Pessoa - PB",-7.18083856,-34.83466073
9,João Pessoa,Educação,ECITE JOAO ROBERTO BORGES DE SOUZA,"R. Osório Milanês Filho, SN - Mangabeira, João Pessoa - PB, 58056-280",-7.17802901,-34.83940763
10,João Pessoa,Educação,EEEFM PROFESSORA MARIA JACY COSTA,"R. Dráuzio Férrer, 77 - Mangabeira II, João Pessoa - PB, 58057-360",-7.18012297,-34.84352577
11,João Pessoa,Educação,Escola Estadual Professora Maria Bronzeado Machado,"Mangabeira II, João Pessoa - PB, 58057-000",-7.18081031,-34.84580696
12,João Pessoa,Educação,EEEM CON LUIZ GONZAGA DE OLIVEIRA,"R. Janduí Dantas do Nascimento, S/N - Mangabeira I, João Pessoa - PB, 58056-140",-7.17143206,-34.83825110
13,João Pessoa,Educação,EEEF PEDRO LINS VIEIRA DE MELO,"R. Francisco Pereira de Souza, 130 - Mangabeira I, João Pessoa - PB, 58056-410",-7.16961466,-34.84144463
14,João Pessoa,Educação,EEEFM Professor José Baptista de Mello,"R. Administrador Manoel Ângelo de Oliveira - Mangabeira, João Pessoa - PB, 58058-200",-7.16440425,-34.83145470
15,João Pessoa,Educação,ECIT Daura Santiago Rangel,"R. Benício de Oliveira Lima, S/N - José Américo de Almeida, João Pessoa - PB, 58073-180",-7.16806687,-34.85462883
16,João Pessoa,Educação,Escola Estadual Governador Antônio Mariz,"R. Toni Cássio Rodrigues Estrela, s.n - Cidade dos Funcionários II e III, João Pessoa - PB, 58079-040",-7.18163436,-34.88489361
17,João Pessoa,Educação,Escola Cidadã Integral Técnica Manoel Lisboa de Moura,"R. Antônio Claudino Leal - Costa e Silva, João Pessoa - PB, 58082-050",-7.17966075,-34.89965184
18,João Pessoa,Educação,Escola Cidadã Integral Técnica Francisca Ascensão Cunha,"R. Bancário Luiz Gonzaga Gomes da Silva Filho, 68 - Bancários, João Pessoa - PB, 58033-455",-7.14796218,-34.83665479
19,João Pessoa,Educação,ECIT PRESIDENTE JOÃO GOULART,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",-7.13643639,-34.85156719
20,João Pessoa,Educação,ECI PROF PAULO FREIRE,"R. Marli do Nascimento Souza, 57 - João Paulo II, João Pessoa - PB, 58076-117",-7.17828041,-34.87613759
21,João Pessoa,Educação,EEEF MILTON CAMPOS,"R. Severina Maria Vasconcelos de Carvalho, S/N - Ernesto Geisel, João Pessoa - PB, 58077-156",-7.18306780,-34.86577268
22,João Pessoa,Educação,ECI Tenente Lucena,"R. Profa. Maria Estér Bezerra Mesquita, SN - Bairro dos Ipês, João Pessoa - PB, 58033-455",-7.10025806,-34.85711253
23,João Pessoa,Educação,ECIT EEPAC - ECIT PROFESSOR PEDRO AUGUSTO PORTO CAMINHA,"R. Anúbio Lins Falcão, 9999 - Jaguaribe, João Pessoa - PB, 58015-480",-7.13788056,-34.87507970
